,voter,created,ipfs,vp,choice
218,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633979964,QmWk83yoSaVEJYLnH5kGduHpR6GuNhawnnhgwbwGT1KMw2,5997.87,1.0
219,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633979858,QmWWyu5RJ3ZX4uJjZ6SAhZWV5ECefrMnFxmKb9g7toEzLp,6357.323238001901,1.0
220,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633979762,QmRiBcbM3wJXtZPfrjW4uGnuLLzRAuMPix4tq93cnt2nqE,6357.323238001901,1.0
221,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633979679,Qmck6JwZzx13AwfS3aoqGLdsFmf4XwNExC6KzMFB3oayV9,6357.323238001901,1.0
222,0x2B1361AF4f0267aE9C41160c447F8AFbFeaD4532,1633979641,QmSomtg5MKDex13xbuEnmGMCEwdqxbdtWS4Duo18i2kyYZ,2255.6618027184386,1.0
223,0x2B1361AF4f0267aE9C41160c447F8AFbFeaD4532,1633979617,Qmei7b6PgWG2CqDFHzPyn58W6dwyTRwraR8krLxDWnCTnT,2255.6618027184386,2.0
224,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633979216,QmdrpysYB8qLQjVLXgC2vJ5FGqJ9eyEQyFWKaA4tJMTe2C,5997.87,1.0
225,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633979067,Qmbt7bDADddWADHbopGsm1NyTXLsvzPDRzgM7UhVyrGuPk,5997.87,2.0
226,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633978779,QmcbZpG2q8q3kxrvrkmhtvDToGM5wiVegEekvFeRY1kM4T,5997.87,1.0
227,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633978277,QmRM6otnzpvBqa3VaTJ1FBXNDaFq2vhZfzfXH2hUEEZwiR,5997.87,1.0
228,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633978048,QmRyfK8tvYDBiM1L99UKuJ5PqgR1xXVyqCh4UATNvrcRo3,5997.87,1.0
229,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633977809,Qmci92aU1SVSMt53HPz4L74yYt26MAHJz8qhyxwP33dWMu,5997.87,2.0
230,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633977686,QmTC5ioLSJk7RZD1zHF1d2kgeoeUUKw68MA2NowVPkMNUz,5997.87,1.0
231,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633977468,QmXSrHdjE35bRRJXYwrutzR3mhE66tKb6ncirMWxFDJsTH,231.33314390998143,1.0
232,0x90EB6f23617DCdD76C8BA65DE7293Dc847Ffc534,1633977418,QmSQ5ddmdQx6WcfiTShmy2DKBeq8jcRFxGEtpztHHz6kZ8,6139.960438556277,1.0
233,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633977366,QmVeoSMFiR4JcBNtAoSGhZw44mqnnA1RwzYEqQgwnDC8WM,231.33314390998143,1.0
234,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633977260,QmUbarnbBbShJfGhnP1VYMoxaYHQuzPPFVZWs4WywYhTNU,231.33314390998143,1.0
235,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633977211,QmfGiJXfETz39B8a4B8rwVvwQeSGbvBG5CchDc59QVrHnc,231.33314390998143,1.0
236,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633977149,QmPyWGN72S23wXEX5CeQj1BAv8Umw5VDzEB76G2BkcZzVT,5997.87,2.0
237,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633977118,QmfWgsmqXyLCBomF5SHQWP9n9iAzyAnTMQrcJETeS2C1tQ,5997.87,1.0
238,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633977061,QmQVvFMeAxUZ5uBfxkowxYMHfurLQ7y7ZrrtAfpvCuwALM,231.33314390998143,1.0
239,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633976977,QmbLEZaHZnZV9LQxRQhRNzSFmJZXbsUKxddK8EX8vyPLv5,231.33314390998143,1.0
240,0x90EB6f23617DCdD76C8BA65DE7293Dc847Ffc534,1633976935,QmQDdVPoFmGk2hM7v9Eahsw7WkisGuR43Uhed37pWhUAyM,6139.960438556277,1.0
241,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633976915,QmSBsWuyminpWXoGfy8bArRSgbPAz88b82eVj1eJBaRo81,231.33314390998143,1.0
242,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633976870,QmRnoYPSAEzbwM6G3K8rWLCnjaxCUFrLWDdPp1SQ32Yok8,231.33314390998143,1.0
243,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633976827,QmUX5GTzZfWV38fRV1vamToRohfyZxoH9JAYizzCVDE1Uo,231.33314390998143,1.0
244,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633976789,QmZq44aAKGghWfh3vT1QksbrxAFF1oQ5gbGwacLUvs8XJt,231.33314390998143,1.0
245,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633976719,QmZ9LM4eQ9YqKu8MPFW3DE66PbWpLDCyvGKkngw5iHt1Dg,231.33314390998143,1.0
246,0x254Ba7254366CA7afE007897358Ee0b45CA933E2,1633976714,QmYuX9XhHade7T48upVwYPEqtXyH2bJxCVdf1mjwmP33oN,522.0,1.0
247,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633976674,Qmf3VudsupmTvaVTT7bm2cqBjNTBXeQiZJB53LNC3nKWCa,231.33314390998143,1.0
248,0x2b15E377502B491D93F1fB1A6a1B17714C739158,1633976634,QmPCJRJi1zHVwWsL79mNcPWNfz3qmya9fuhZTpG4TscLVY,231.33314390998143,1.0
249,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633976589,QmefRiirwhAUv9oCsfgRFD1Kb8tVmoGF6EQjgsKrpvcvV4,13701.4406028,1.0
